순번,표제어,파생어,원문,교육부_별표,난이도_분류,교재_ID
1,aid,,aid**,**,필수 영단어 2000,essential_2000
2,aim,,aim**,**,필수 영단어 2000,essential_2000
3,ant,,ant**,**,필수 영단어 2000,essential_2000
4,bar,,bar**,**,필수 영단어 2000,essential_2000
5,bay,,bay**,**,필수 영단어 2000,essential_2000
6,beg,,beg**,**,필수 영단어 2000,essential_2000
7,bet,,bet**,**,필수 영단어 2000,essential_2000
8,bin,,bin**,**,필수 영단어 2000,essential_2000
9,bit,,bit**,**,필수 영단어 2000,essential_2000
10,bow,,bow**,**,필수 영단어 2000,essential_2000
11,bug,,bug**,**,필수 영단어 2000,essential_2000
12,cop,,cop**,**,필수 영단어 2000,essential_2000
13,dig,,dig**,**,필수 영단어 2000,essential_2000
14,due,,due**,**,필수 영단어 2000,essential_2000
15,fee,,fee**,**,필수 영단어 2000,essential_2000
16,few,,few**,**,필수 영단어 2000,essential_2000
17,fit,,fit**,**,필수 영단어 2000,essential_2000
18,fog,,fog**,**,필수 영단어 2000,essential_2000
19,fry,,fry**,**,필수 영단어 2000,essential_2000
20,fur,,fur**,**,필수 영단어 2000,essential_2000
21,gun,,gun**,**,필수 영단어 2000,essential_2000
22,hug,,hug**,**,필수 영단어 2000,essential_2000
23,ill,,ill**,**,필수 영단어 2000,essential_2000
24,jaw,,jaw**,**,필수 영단어 2000,essential_2000
25,joy,(enjoy),joy** (enjoy),**,필수 영단어 2000,essential_2000
26,law,,law**,**,필수 영단어 2000,essential_2000
27,lay,(layer),lay** (layer),**,필수 영단어 2000,essential_2000
28,let,,let**,**,필수 영단어 2000,essential_2000
29,lid,,lid**,**,필수 영단어 2000,essential_2000
30,log,,log**,**,필수 영단어 2000,essential_2000
31,lot,,lot**,**,필수 영단어 2000,essential_2000
32,mix,,mix**,**,필수 영단어 2000,essential_2000
33,mud,,mud**,**,필수 영단어 2000,essential_2000
34,net,,net**,**,필수 영단어 2000,essential_2000
35,nor,,nor**,**,필수 영단어 2000,essential_2000
36,nut,,nut**,**,필수 영단어 2000,essential_2000
37,oak,,oak**,**,필수 영단어 2000,essential_2000
38,odd,,odd**,**,필수 영단어 2000,essential_2000
39,own,,own**,**,필수 영단어 2000,essential_2000
40,pan,,pan**,**,필수 영단어 2000,essential_2000
41,per,,per**,**,필수 영단어 2000,essential_2000
42,pet,,pet**,**,필수 영단어 2000,essential_2000
43,pie,,pie**,**,필수 영단어 2000,essential_2000
44,pin,,pin**,**,필수 영단어 2000,essential_2000
45,pop,,pop**,**,필수 영단어 2000,essential_2000
46,pot,,pot**,**,필수 영단어 2000,essential_2000
47,pub,,pub**,**,필수 영단어 2000,essential_2000
48,rat,,rat**,**,필수 영단어 2000,essential_2000
49,rob,,rob**,**,필수 영단어 2000,essential_2000
50,row,,row**,**,필수 영단어 2000,essential_2000
51,rub,(rubber),rub** (rubber),**,필수 영단어 2000,essential_2000
52,sew,,sew**,**,필수 영단어 2000,essential_2000
53,sex,,sex**,**,필수 영단어 2000,essential_2000
54,spy,,spy**,**,필수 영단어 2000,essential_2000
55,sum,(summary),sum** (summary),**,필수 영단어 2000,essential_2000
56,tap,,tap**,**,필수 영단어 2000,essential_2000
57,tax,,tax**,**,필수 영단어 2000,essential_2000
58,tea,,tea**,**,필수 영단어 2000,essential_2000
59,tie,,tie**,**,필수 영단어 2000,essential_2000
60,tin,,tin**,**,필수 영단어 2000,essential_2000
61,tip,,tip**,**,필수 영단어 2000,essential_2000
62,toe,,toe**,**,필수 영단어 2000,essential_2000
63,van,,van**,**,필수 영단어 2000,essential_2000
64,yet,,yet**,**,필수 영단어 2000,essential_2000
65,able,(disabled),able** (disabled),**,필수 영단어 2000,essential_2000
66,army,,army**,**,필수 영단어 2000,essential_2000
67,band,,band**,**,필수 영단어 2000,essential_2000
68,bang,,bang**,**,필수 영단어 2000,essential_2000
69,bare,,bare**,**,필수 영단어 2000,essential_2000
70,bark,,bark**,**,필수 영단어 2000,essential_2000
71,bean,,bean**,**,필수 영단어 2000,essential_2000
72,beat,,beat**,**,필수 영단어 2000,essential_2000
73,beer,,beer**,**,필수 영단어 2000,essential_2000
74,bend,,bend**,**,필수 영단어 2000,essential_2000
75,bind,,bind**,**,필수 영단어 2000,essential_2000
76,bite,,bite**,**,필수 영단어 2000,essential_2000
77,blow,,blow**,**,필수 영단어 2000,essential_2000
78,boil,,boil**,**,필수 영단어 2000,essential_2000
79,bomb,,bomb**,**,필수 영단어 2000,essential_2000
80,bond,,bond**,**,필수 영단어 2000,essential_2000
81,boom,,boom**,**,필수 영단어 2000,essential_2000
82,boot,,boot**,**,필수 영단어 2000,essential_2000
83,bore,,bore**,**,필수 영단어 2000,essential_2000
84,boss,,boss**,**,필수 영단어 2000,essential_2000
85,bowl,,bowl**,**,필수 영단어 2000,essential_2000
86,bump,,bump**,**,필수 영단어 2000,essential_2000
87,bury,,bury**,**,필수 영단어 2000,essential_2000
88,bush,,bush**,**,필수 영단어 2000,essential_2000
89,cage,,cage**,**,필수 영단어 2000,essential_2000
90,calm,,calm**,**,필수 영단어 2000,essential_2000
91,cape,,cape**,**,필수 영단어 2000,essential_2000
92,cart,,cart**,**,필수 영단어 2000,essential_2000
93,cast,,cast**,**,필수 영단어 2000,essential_2000
94,cell,,cell**,**,필수 영단어 2000,essential_2000
95,chat,,chat**,**,필수 영단어 2000,essential_2000
96,chew,,chew**,**,필수 영단어 2000,essential_2000
97,chip,,chip**,**,필수 영단어 2000,essential_2000
98,chop,,chop**,**,필수 영단어 2000,essential_2000
99,clip,,clip**,**,필수 영단어 2000,essential_2000
100,clue,,clue**,**,필수 영단어 2000,essential_2000
101,coal,,coal**,**,필수 영단어 2000,essential_2000
102,code,,code**,**,필수 영단어 2000,essential_2000
103,coin,,coin**,**,필수 영단어 2000,essential_2000
104,cope,,cope**,**,필수 영단어 2000,essential_2000
105,copy,,copy**,**,필수 영단어 2000,essential_2000
106,cure,,cure**,**,필수 영단어 2000,essential_2000
107,curl,,curl**,**,필수 영단어 2000,essential_2000
108,cute,,cute**,**,필수 영단어 2000,essential_2000
109,dare,,dare**,**,필수 영단어 2000,essential_2000
110,dawn,,dawn**,**,필수 영단어 2000,essential_2000
111,deal,,deal**,**,필수 영단어 2000,essential_2000
112,debt,,debt**,**,필수 영단어 2000,essential_2000
113,deck,,deck**,**,필수 영단어 2000,essential_2000
114,deny,,deny**,**,필수 영단어 2000,essential_2000
115,diet,,diet**,**,필수 영단어 2000,essential_2000
116,dirt,(dirty),dirt** (dirty),**,필수 영단어 2000,essential_2000
117,disc,(disk),disc** (disk),**,필수 영단어 2000,essential_2000
118,dish,,dish**,**,필수 영단어 2000,essential_2000
119,dive,,dive**,**,필수 영단어 2000,essential_2000
120,drag,,drag**,**,필수 영단어 2000,essential_2000
121,drug,,drug**,**,필수 영단어 2000,essential_2000
122,dump,,dump**,**,필수 영단어 2000,essential_2000
123,dust,,dust**,**,필수 영단어 2000,essential_2000
124,duty,,duty**,**,필수 영단어 2000,essential_2000
125,each,,each**,**,필수 영단어 2000,essential_2000
126,earn,,earn**,**,필수 영단어 2000,essential_2000
127,ease,"(disease, easy)","ease** (disease, easy)",**,필수 영단어 2000,essential_2000
128,edge,,edge**,**,필수 영단어 2000,essential_2000
129,edit,,edit**,**,필수 영단어 2000,essential_2000
130,else,,else**,**,필수 영단어 2000,essential_2000
131,even,,even**,**,필수 영단어 2000,essential_2000
132,ever,,ever**,**,필수 영단어 2000,essential_2000
133,evil,,evil**,**,필수 영단어 2000,essential_2000
134,exit,,exit**,**,필수 영단어 2000,essential_2000
135,fair,,fair**,**,필수 영단어 2000,essential_2000
136,fear,,fear**,**,필수 영단어 2000,essential_2000
137,feed,,feed**,**,필수 영단어 2000,essential_2000
138,firm,,firm**,**,필수 영단어 2000,essential_2000
139,flag,,flag**,**,필수 영단어 2000,essential_2000
140,flat,,flat**,**,필수 영단어 2000,essential_2000
141,flow,,flow**,**,필수 영단어 2000,essential_2000
142,fold,,fold**,**,필수 영단어 2000,essential_2000
143,folk,,folk**,**,필수 영단어 2000,essential_2000
144,frog,,frog**,**,필수 영단어 2000,essential_2000
145,fund,,fund**,**,필수 영단어 2000,essential_2000
146,gain,,gain**,**,필수 영단어 2000,essential_2000
147,gate,,gate**,**,필수 영단어 2000,essential_2000
148,gear,,gear**,**,필수 영단어 2000,essential_2000
149,gift,,gift**,**,필수 영단어 2000,essential_2000
150,glue,,glue**,**,필수 영단어 2000,essential_2000
151,golf,,golf**,**,필수 영단어 2000,essential_2000
152,grab,,grab**,**,필수 영단어 2000,essential_2000
153,half,,half**,**,필수 영단어 2000,essential_2000
154,hall,,hall**,**,필수 영단어 2000,essential_2000
155,harm,,harm**,**,필수 영단어 2000,essential_2000
156,hear,,hear**,**,필수 영단어 2000,essential_2000
157,hell,,hell**,**,필수 영단어 2000,essential_2000
158,hide,,hide**,**,필수 영단어 2000,essential_2000
159,hint,,hint**,**,필수 영단어 2000,essential_2000
160,hire,,hire**,**,필수 영단어 2000,essential_2000
161,hole,,hole**,**,필수 영단어 2000,essential_2000
162,huge,,huge**,**,필수 영단어 2000,essential_2000
163,hurt,,hurt**,**,필수 영단어 2000,essential_2000
164,iron,,iron**,**,필수 영단어 2000,essential_2000
165,item,,item**,**,필수 영단어 2000,essential_2000
166,joke,,joke**,**,필수 영단어 2000,essential_2000
167,knee,,knee**,**,필수 영단어 2000,essential_2000
168,lack,,lack**,**,필수 영단어 2000,essential_2000
169,lamb,,lamb**,**,필수 영단어 2000,essential_2000
170,lamp,,lamp**,**,필수 영단어 2000,essential_2000
171,lane,,lane**,**,필수 영단어 2000,essential_2000
172,lawn,,lawn**,**,필수 영단어 2000,essential_2000
173,lead,,lead**,**,필수 영단어 2000,essential_2000
174,leaf,,leaf**,**,필수 영단어 2000,essential_2000
175,lean,,lean**,**,필수 영단어 2000,essential_2000
176,leap,,leap**,**,필수 영단어 2000,essential_2000
177,lend,,lend**,**,필수 영단어 2000,essential_2000
178,lift,,lift**,**,필수 영단어 2000,essential_2000
179,link,,link**,**,필수 영단어 2000,essential_2000
180,list,,list**,**,필수 영단어 2000,essential_2000
181,load,,load**,**,필수 영단어 2000,essential_2000
182,loan,,loan**,**,필수 영단어 2000,essential_2000
183,lock,,lock**,**,필수 영단어 2000,essential_2000
184,lose,,lose**,**,필수 영단어 2000,essential_2000
185,loss,,loss**,**,필수 영단어 2000,essential_2000
186,loud,,loud**,**,필수 영단어 2000,essential_2000
187,main,,main**,**,필수 영단어 2000,essential_2000
188,male,,male**,**,필수 영단어 2000,essential_2000
189,mark,,mark**,**,필수 영단어 2000,essential_2000
190,mask,,mask**,**,필수 영단어 2000,essential_2000
191,mass,,mass**,**,필수 영단어 2000,essential_2000
192,mate,,mate**,**,필수 영단어 2000,essential_2000
193,meal,,meal**,**,필수 영단어 2000,essential_2000
194,mean,,mean**,**,필수 영단어 2000,essential_2000
195,melt,,melt**,**,필수 영단어 2000,essential_2000
196,menu,,menu**,**,필수 영단어 2000,essential_2000
197,mess,,mess**,**,필수 영단어 2000,essential_2000
198,mill,,mill**,**,필수 영단어 2000,essential_2000
199,mood,,mood**,**,필수 영단어 2000,essential_2000
